class_index,class,height,width,scale by
0,air hockey,224,224,1
1,ampute football,224,224,1
2,archery,224,224,1
3,arm wrestling,224,224,1
4,axe throwing,224,224,1
5,balance beam,224,224,1
6,barell racing,224,224,1
7,baseball,224,224,1
8,basketball,224,224,1
9,baton twirling,224,224,1
10,bike polo,224,224,1
11,billiards,224,224,1
12,bmx,224,224,1
13,bobsled,224,224,1
14,bowling,224,224,1
15,boxing,224,224,1
16,bull riding,224,224,1
17,bungee jumping,224,224,1
18,canoe slamon,224,224,1
19,cheerleading,224,224,1
20,chuckwagon racing,224,224,1
21,cricket,224,224,1
22,croquet,224,224,1
23,curling,224,224,1
24,disc golf,224,224,1
25,fencing,224,224,1
26,field hockey,224,224,1
27,figure skating men,224,224,1
28,figure skating pairs,224,224,1
29,figure skating women,224,224,1
30,fly fishing,224,224,1
31,football,224,224,1
32,formula 1 racing,224,224,1
33,frisbee,224,224,1
34,gaga,224,224,1
35,giant slalom,224,224,1
36,golf,224,224,1
37,hammer throw,224,224,1
38,hang gliding,224,224,1
39,harness racing,224,224,1
40,high jump,224,224,1
41,hockey,224,224,1
42,horse jumping,224,224,1
43,horse racing,224,224,1
44,horseshoe pitching,224,224,1
45,hurdles,224,224,1
46,hydroplane racing,224,224,1
47,ice climbing,224,224,1
48,ice yachting,224,224,1
49,jai alai,224,224,1
50,javelin,224,224,1
51,jousting,224,224,1
52,judo,224,224,1
53,lacrosse,224,224,1
54,log rolling,224,224,1
55,luge,224,224,1
56,motorcycle racing,224,224,1
57,mushing,224,224,1
58,nascar racing,224,224,1
59,olympic wrestling,224,224,1
60,parallel bar,224,224,1
61,pole climbing,224,224,1
62,pole dancing,224,224,1
63,pole vault,224,224,1
64,polo,224,224,1
65,pommel horse,224,224,1
66,rings,224,224,1
67,rock climbing,224,224,1
68,roller derby,224,224,1
69,rollerblade racing,224,224,1
70,rowing,224,224,1
71,rugby,224,224,1
72,sailboat racing,224,224,1
73,shot put,224,224,1
74,shuffleboard,224,224,1
75,sidecar racing,224,224,1
76,ski jumping,224,224,1
77,sky surfing,224,224,1
78,skydiving,224,224,1
79,snow boarding,224,224,1
80,snowmobile racing,224,224,1
81,speed skating,224,224,1
82,steer wrestling,224,224,1
83,sumo wrestling,224,224,1
84,surfing,224,224,1
85,swimming,224,224,1
86,table tennis,224,224,1
87,tennis,224,224,1
88,track bicycle,224,224,1
89,trapeze,224,224,1
90,tug of war,224,224,1
91,ultimate,224,224,1
92,uneven bars,224,224,1
93,volleyball,224,224,1
94,water cycling,224,224,1
95,water polo,224,224,1
96,weightlifting,224,224,1
97,wheelchair basketball,224,224,1
98,wheelchair racing,224,224,1
99,wingsuit flying,224,224,1
